tokenized_and_stemmed,tweet_english
o masjid mcflurrynyanitu ikn,o mcflurrynyanitu mosque ikn
proyek bangun jalan tol ikn target selesai juli 2024,The IKN toll road construction project is targeted for completion in July 2024
die kan usaha juga punya proyek ikn,"Yes, the business also has an IKN project"
bangun ikn pak,"wake up, sir"
tuhan nya ada ikn sono,there is a god like sono
penting rakyat tanah jadi ikn keren sih,It's important for the people of the land to be cool
usaha vietnam investasi ikn,Vietnam investment business IKN
menteri pupr kualitas jalan tol ikn nusantara baik dunia,"Minister of Public Works, the quality of IKN toll roads in the archipelago is good in the world"
tingkat ekonomi indonesia presiden jokowi ajak usaha vietnam investasi ikn nusantara,"Indonesia's economic level, President Jokowi invites Vietnamese businesses to invest in Indonesian fish"
umat kristiani pernah campur aduk antar agama amp politik knp si ara bisa lanjut hotel nya ikn pake jual agama ya kadrunisme,"Christians have mixed up religion and politics, why can Ara continue his hotel by selling religion, kadrunism?"
jangan lupa noh orang mau lanjut program lawak tidak nye rezim skarang ikn duit mane tuh kalo kaga ngutang,"Don't forget, people want to continue the comedy program, don't worry about the current regime, where's the money if you don't have debt?"
jadi menteri pupr kan punya proyek hotel bintang 5 ikn,So the Minister of Public Works has a 5 star IKN hotel project
hapus subsidi lalu lanjut bangun ikn sangat peduli rakyat sekali priogramnya,Remove subsidies then continue building IKN really cares about the people and its program
sini cerita k aku teh aku jg pro ikn da wkwk,"Here's my story, I'm also a fish pro, hahaha"
ikn bawa dampak baik,it will have a good impact
sama dukung ikn nusantara,and support Indonesian fish
ikn bawa dampak baik,it will have a good impact
njir gas 3kg harga 60k ikn wkwk pantes nasi bungkus 20k atas,"Njir gas 3kg price 60k IKN Wow, no wonder the rice package is above 20K"
selamat nikmat kan ikn sama kereta cepat,Good luck with the fast train
dana jembatan bayar utang jebak china untuk bangun ikn korupsi kami rakyat sengsara suara kalian 5 tahun kami beli 200 ribu rupiah murah,"Bridge funds to pay off China's trapped debts to build our corruption system, our people are miserable, your vote for 5 years we will buy it for 200 thousand cheap rupiah"
2 000 pns eselon i ii segera pindah duluan ikn jakarta edunews id-sebanyak 2 000 aparatur sipil negara asn pns eselon i eselon ii pindah ibu kota nusantara ikn tahap pertama ini sampai menteri,"2,000 echelon I II civil servants will immediately move first IKN Jakarta Edunews ID-a total of 2,000 echelon I Echelon II state civil servants will move to the capital of the archipelago in this first stage until the Minister"
taruna calo ikn koar koar,"the cadets tout the fish, they're all loud and loud"
brunei darussalam nyata minat investasi ibu kota nusantara presiden jokowi kantong letter of acceptance nila rp 7 triliun konsorsium internasional peluang kolaborasi tuju pusat tumbuh ekonomi baru,brunei darussalam real investment interest capital of the archipelago president jokowi pocket letter of acceptance nila rp 7 trillion international consortium collaboration opportunities to aim for new economic growth center
kasus km50 pbnu suara gantirugi mandalika ikn wadas kasus rempang peduli pbnu banjir bencana alam jg sepi,km50 case pbnu vote compensation mandalika ikn wadas case rempang care pbnu floods natural disasters also quiet
sama,The same
bangun ikn jadi topang ekonomi indonesia masa depan,Build IKN to support Indonesia's future economy
thread sekian bikin tekad bulat kalau gk bakal minat beli rumah jabodetabek bismillah tempat ikn,"This thread has made me determined that I will not be interested in buying a house in Jabodetabek, bismillah, IKN place"
ma af rais aam pbnu balik nih justru presiden jokowi hina mendzalimi rakyat indonesia masuk nadhliyin halus kasat mata kasus rempang morowali ikn kac kanjuruhan pbnu kalem merem,"ma af rais aam pbnu is back, it's actually president jokowi who is despicable in tyrannizing the indonesian people, entering nadhliyin in a subtle, invisible case, the case of rempang morowali iKn kac kanjuruhan pbnu is calm and reserved"
nah dengar kata rabbi yahudi,"Well, listen to what the Jewish Rabbi said"
semua orang israel agama yahudi semua yahudi jewish zionis,all Israelis are Jewish all Jews are Zionist Jews
dukung minta domestik utama lanjut tumbuh konsumsi tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"support the main domestic demand to continue growing consumption, special investment levels, building roads, continuing to build PSN to enter the capital of the archipelago, IKN"
mukusnya bangun hotel ikn,the mucus is building an IKN hotel
gw mikirnya gin soal ken ikn dilanjutin tinggal liat yang nyupirin aja,"I think it's a good idea to continue, just look at the person who's thinking about it"
nyata,real
ken deh ngetwit dampak langsung ikn hidup datang tanah kaltim takut kira buzzer saya bukan dukung ybs ,Ken deh tweeted the direct impact of live fish coming to the land of East Kalimantan I'm afraid of the buzzer I don't support ybs
dukung progres bangun ikn nusantara,support the progress of building the archipelago's fisheries
dukung progres bangun ikn nusantara,support the progress of building the archipelago's fisheries
dukung progres bangun ikn nusantara,support the progress of building the archipelago's fisheries
banyak asn pusat mau kalau pindah ikn jadi asn pusat tahu dong milih siapa wkwkwkwk,"Many central ASNs would like to move to become central ASNs, you know who to choose hahaha"
disclaimer dulu nih gue pro bangun ikn rep gue tulis atas dasar dapat temen gue dukung 02 screenshot kamu kirim bilang smi mundur jadi kemenkeu utang indo bengkak bangun ikn,"Disclaimer first, I'm pro building IKN Rep. I write on the basis that my friends can support me. 02 screenshots you send say SMI is stepping down as Ministry of Finance, Indonesian debt is swelling, building IKN"
nyata,real
program asal mangap asal janji ikut2an bokapnya wakil proyek mercusuar ikn kereta cepat kasihan rakyat cekik pajak subsidi bbm hilang,"program as long as it is established as long as it promises to follow along with the father, the representative of the lighthouse project, IKN, the high-speed train, it's a pity for the people who are strangled, the fuel subsidy tax is gone"
sah benar bangun ikn and i m happy to hear kalimantans enthusiasm about ikn perlu catat kalau perata sejahtera duduk cuma pulau jawa sama kalimantan juga semua pulau indonesia,really wake up ikn and I'm happy to hear Kalimantan's enthusiasm about ikn. Please note that Perata Sejahtera sits only on the islands of Java and Kalimantan as well as all the islands of Indonesia
tp statment ganjar tetap lanjut ikn lho bikin ragu kaya full total oposisi sama jokowi,"But the reward statement continues, you know, it makes you doubt the full opposition to Jokowi"
nyata,real
hahaha satu selera,hahaha one taste
ketika usaha deya ikn ngajakin alil pulang ngga apa anak pdhl mo zeyya cuma mintain mulberries bisa langsung bikin alil pesan travel pulang dey kamu dikalahin sama anak sendiri ituu roman mo zeyya jadi sayang pakde alil banget inih,"When you try to get Alil to go home, it's okay, the child, even if Mo Zeyya just asks for mulberries, you can immediately make Alil order a trip home, you're being defeated by your own child, Mo Zeyya's romance, so I really love Pakde Alil."
sini lihat beliau tuju ikn anggar lebih baik bikin 40 kota jakarta karna ikn tidak kalang nikmatinnya tolak belakang prinsip tara adil kalau 01 menang ikn jadi prokprokprok,"Here, look at him aiming for IK Fencing, it's better to make 40 cities in Jakarta because IKN doesn't enjoy it much, it's against the principle of tara, it's fair if 01 wins, IKN becomes prokprokprok"
satu kurang ttg ikn kurang libat masyarakat gagas amp susun bijak shg jadi pro kontra,"One thing is less about the lack of involvement of the community, ideas & wise planning so that there are pros and cons"
nanti kampus internasional ikn,later the IKN international campus
kampus kelas dunia pertama tarik ikn,First world class campus to attract IKN
niu amerika serikat tarik bangun kampus pascasarjana ikn,NIU United States withdraws construction of IKN graduate campus
niu amerika serikat tarik bangun ikn,niu united states pull up ikn
universitas internasional peluang kolaborasi bentuk riset didik ikn,international universities opportunities for collaboration in the form of education and education research
dey kamu yakin ngga ngiri sama alil wkwk alil nan jauh ikn dah tau kalo star isi dah panggil pakde om lohh,"Hey, are you sure you're not sending Alil, hey Alil, who's far away, I already know that Star Isi has called Uncle Uncle, you know?"
program tidak masuk akal lebih gila ikn,more crazy nonsense program iKN
yesus bahasa yunani,Jesus in Greek
panglima jilah ribu pasu merah dukung prabowo lanjut bangun ikn,Commander Jilah Thousand Red Pasu supports Prabowo to continue building IKN
belum boro-boro lirik sama perintah kan kalimantan cuma anak tiri dimanfaatin kaya alam maaf tiba ngomongin ikn i m just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives,"not yet wasted the lyrics and commands, Kalimantan is just a stepchild used like nature, sorry for suddenly talking about ikn, I'm just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives"
wkwk jan bilang anak nya deya lengket nya alil sebentar ngidam pertama om alil bawain ikn,"haha jan said his child was clingy, alil was craving for a while first uncle alil brought some fish"
si tiba tiba bikin ikn,Si suddenly made fish
presiden jokowi mulai bangun jambuluwuk nusantara hotel ikn,President Jokowi begins building the Jambuluwuk Nusantara IKN hotel
kan kalau jadi presiden laku adil seluruh rakyat indonesia hanya jakarta makhluk model pj heru lempar ikn ,"Right, if you become president, all Indonesian people will be fair, only Jakarta will be a model of PJ Heru throwing fish"
tol akses tuju ikn tahap 1 rampung juli 2024 datang,IKN access toll road phase 1 will be completed in July 2024
menang prabowo mampu terus bangun ikn kelkelkelkelkelkel rekam jejak ide gagas minus koq mau nerusin program jokowi meksoooooo,"win, Prabowo is able to continue to build IKN kelkelkelkelkelkel track record of ideas minus how come you want to continue Jokowi's program meksoooooo"
main kemarin bahas kyk orang benar dah mulai milu ikn utang negara love you teman teman moga makin liat kyk orang benar ,"yesterday's game discussed like a righteous person, I'm starting to feel sad about the national debt, love you friends, I hope you see more like a righteous person"
jalan tol ikn tengah bangun begini tampak,This is how the IKN toll road is being built
dukung minta domestik utama lanjut tumbuh konsumsi tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"support the main domestic demand to continue growing consumption, special investment levels, building roads, continuing to build PSN to enter the capital of the archipelago, IKN"
ikn kan butuh dana ngerti dong kan tuju baik negara,"I mean, you need funds, you understand, it's aimed at the good of the country"
jadi jelas untuk tolak ikn bye bye,So it's clear to reject IKN bye bye
bangun ikn tingkat tumbuh ekonomi,build the level of economic growth
ikn nusantara jadi titik bangkit tuju negara maju sejahtera,The Indonesian archipelago has become a rising point towards a prosperous developed country
ikn nusantara beri ubah besar bangsa negara,Indonesian fish have made a big difference to the nation's nation
waskita tuntas 7 proyek ikn semester i daftar,Waskita completes 7 IKN projects in semester I list
ahli kitab bani israil khusus yahudi tahu dan mana nabi akhir zaman lahir makanya harap nabi akhir golong sehingga qabilah yahudi diam mek nabi muhammad lahir,"the book experts of the children of Israel, especially Jews, know where the prophet of the end times was born, so we hope that the final prophet will be included so that the qabilah of the Jews will be silent when the prophet Muhammad was born."
lah deforestasi buat ikn food estate siape ,is deforestation ready for food estates?
lu kira ikn food estate maksi gratis dana 1400t kemenhan tidak boros 10thn perintah jokowi utang naik 2000t 8000t anjir gedek lag,"Do you think IKN Food Estate has a maximum free fund of 1400t, the Ministry of Defense won't waste 10 years of Jokowi's orders, debt will increase by 2000t, 8000t, Anjir Gedek Lag"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn ,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
bahas reply atas revelan banget jawab kan elu bahas soal ikn,"discussing the reply above, it's really relevant to answer, right? You're talking about fish"
menteri basuki pasti tol ikn selesai juli 2024,Minister Basuki will definitely complete the IKN toll road in July 2024
ayooo cak malu dong klou sampe pak bersih2 pasca debat keluar mampu baik,"Come on, bro, I'm embarrassed. If you clean up after the debate, you'll be fine"
dpt proyek ikn pak he he,got a fish project sir he he
kubah masjid ikn,IKN mosque dome
ayo cak semangat jangan mau sayur oleh orang tolol debat kejam jgn sok santun cc,"Come on bro, be enthusiastic, don't want vegetables by stupid people, have a cruel debate, don't act polite, CC"
capres kamu kolega kurang ngerusak di food estate ikn,Your presidential candidate colleagues are not doing enough damage to the IKN food estate
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
nder bahkan cpns baru buka akhir jurus bisa dimasukin beberapa formasi semua jurus soal aku liat kualifikasi didik s1 embel jurus wkwkwkwk banyakkk formasi buka khusus diterbangin ikn,"nder even the new CPNS opens at the end of the moves, you can enter several formations, all the moves, I looked at the qualifications for undergraduate students, additional moves, hahaha, there are lots of special opening formations for flying IKN"
itu gara ambisi junjung kamu buat nerusin ikn ,That's because of your upholding ambition to continue the business
hadehhh berapa penting sih ikn klw emang ada uang nya ngapain terusin,"Haha, how important is it, if you actually have the money, why keep doing it?"
pilih 2 3 kalo menang ttp lanjut ikn komediputer,Choose 2 or 3 if you win but continue with IKN Comedyputer
mungkin maksud hikmat duit biasa aguan proyek ikn,Maybe it means ordinary money wisdom and fish project support
yakin paslon loe paham ttg lingkung  ikn mau terus gmana bicara lingkung yang babat hutan buat singkong,Are you sure your candidate pair understands the environment for fish? What do you want to do with talking about the environment that clears forests for cassava?
kl gitu baik gen z mulai beli rumah ikn 50 tahun kalo negara bangkrut jadi area elit dipuji2 generasi ikut,"If that's the case, Gen Z will start buying houses in 50 years, if the country goes bankrupt, it will become an elite area, praised by generations to follow."
kalau food estate ikn bang subsidi gak kalau dari mana pajak mobil pajak hibur,Is there a subsidy for food estates? Where does the car tax come from?
tau definisi kampanye ga,Do you know the definition of campaign?
lanjut ngutang lanjut bikin tol lanjut kereta cepat lanjut hilir asing lanjut ikn lanjut ngubah konstitusi sesuai penting it s okay arti capres cuma jadi kendara doang dong lenggang legitimasi udah ada,"Continue borrowing, continue making tolls, continue high-speed trains, continue downstream, continue IKN, continue changing the constitution according to the importance, it's okay, the meaning of the presidential candidate is just a vehicle, don't worry, the legitimacy is already there"
invest ikn rasa takut investnya hancur beranta bukan penting rakyat yang pasti penting perut sendiri,"Investing is the fear that your investment will be destroyed, it's not important for the people, what's important is your own stomach"
belum sadar oligarki ver 2 3 sedang main peran good cop vs bad cop bungkam orang tenang anda sendiri  dukung reklamasi jakarta ikn lalu giant sea wall koentji,not yet aware of the oligarchy ver 2 3 playing the role of good cop vs bad cop silence people calm down yourself support the reclamation of Jakarta IKN then giant sea wall koentji
haqqulyakin ikn mangkrak penuh dusta alkadhibuajzun,haqqulyakin ikn stalled full of lies alkadhibuajzun
suruh jalan kaki sekali sbg bukti cinta jangan kasih gampang bila perlu suruh bikin ikn eh,"tell me to take a walk once as proof of love, don't give it easy, if necessary, tell me to make fish, eh"
haluuuu bisa curang kpu nope,haluuuu you can cheat nope
no 3 waras no 1 lihat hasil gimana jakarta no 2 gercep bangun ikn amp kereta cepat walaupun pake utang amp pajak rakyat no 3 selow belum tau depan pasti di setir tum partai kalau jadi masih galau,No. 3 Sane No. 1 Look at the results of Jakarta. No. 2 Quickly build fast trains even though it uses debt and people's taxes.
bangun karaoke ikn mbak tahu discount pajak 75,"wake up karaoke, sis, you know, 75 tax discount"
pupuk vs ikn,fertilizer vs fish
si plongo bisa apa jadi sales ikn,What can the old man do as an fish salesman?
jokowi punya high stakes ya ikn smelter,"Jokowi has high stakes, yes, IKN smelter"
jaga aset nya ikn kalik bang,"Take care of your assets, bro"
gw jadi curiga skenario pindah ikn ya bgini kamu mo bikin absurd absurd bijak gabakalan yang demo jir jauh,"I'm so suspicious that the scenario of moving fish is like this, you can make it absurd, absurd, wise, gabakalan, the demo will be far away"
sehat rakyat jadi susah jabat voc tukang peras cuma jago kandang bukti jual ikn k asing tak laku laku haaaaa,"people are healthy, so it's hard to hold a job as a press worker, he's only good at cages, proof that selling foreign fish doesn't sell well, haaaaa"
ini harus juang transportasi hubung lintas darat maju ekonomi sekaligus mangkas waktu makanya ikn tinjau ulang lihat daerah infrastruktur pemerataa cc untuk,"This requires land transportation to advance economically and at the same time save time, that's why we need to review the area of ​​CC equalization infrastructure for"
beda jauh sama proses ikn,Very different from the IKN process
grassrot kadrun kau diam kasih makan monyet ikn yaaaaaaaa,grassrot kadrun you keep quiet and feed the monkeys fish yaaaaaaaa
oligarki n elite politik jelas membacking 02 bahkan pak prabowo sudah punya proyek ikn jangka pendek mungkin ini kes ah gapapa asal kerja ketika lihat jangka panjang it s a big no for the working class,"oligarchs and political elites are clearly backing 02, even Pak Prabowo already has a short term fish project, maybe this is a problem, it's okay as long as you look at the long term, it's a big no for the working class"
pindah ikn ae mas,"move on, bro"
biaya rugi bumn bangun ikn naik pajak wkwkwk,the cost of loss of a state-owned company will increase in taxes hahaha
ikn hambalang,hamland fish
ngaku negara chaos duit buat bangun ikn asal,admits that the country is in chaos with money to build the original country
lagi utang dah numpuk tambal pake utang kata kemaren aman bangun ikn meski pake dana utang tidak masalah kenapa malah gin sih iya gue tim pro bangun ikn sih tidak ken ibukota dipindahin bangun rata tidak ninggalin masalah,"the debt is already piling up, but using debt, yesterday's word was safe to build, even if you use debt funds, it doesn't matter why it's not working, yes, I'm a pro team to build IK, I don't want the capital to be moved, building flat doesn't leave any problems"
penasaran sih jabodetabek jadi satu provinsi ikn benar jadi,"I'm curious if Jabodetabek becomes one province, it really happens"
logika balik kalau itu ikn tempat buang asn mesti asn baik yh di ikn nanti,"The logic behind it is that if it's a place to dispose of ASN, it has to be a good ASN, so I'll find it later"
plis di tiktok rame banget ttg ikn memang ikn lihat bagus wah gemerlap isu ttg pajak naik subsidi bakal hapus gaji jabat naik hutang lonjak rumor menteri resign malah gk up ,"pls there's a lot of buzz on tiktok about fish, it really looks good, wow, there's a lot of buzz about the issue of tax increases, subsidies that will eliminate official salaries, debts will increase, rumors of ministers resigning won't even come up"
lbh suka non baduy belah,I prefer non Baduy
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the Dayak community, entrusting Prabowo's message to build a Dayak center"
kereta cepat salah arah dicebokin trus bakal jadi sama ikn harap baik baik aja,"The fast train is going in the wrong direction and it's going to be the same, hope it's okay"
konten mah,my content
l dicebokin trus lah bakal jadi sama ikn,I'll be fucked and then I'll be the same as Ikn
ikn kota cerdas,smart city icon
mudah mudah ikn enggak deh cukup cukupin anggar ada kali kurang jgn mewah mewah dah bangun biasa aja,"it's easy, it's not enough, it's not enough, sometimes it's not enough, don't be extravagant, just get up normally"
buah cermin rezim asal asal naik pajak pada akh naik jor joran ikn jadi bangun,"a reflection of the original regime's tax increases at the end of the rise, so I woke up"
jabat voc tukang peras itu bisa laku listrik mahal beli 100 rb cuma 72 rb di sedot pungut 28 rb maling loo rejim modus pakai token jabat jago kandang bukti ikn laku laku jual asing haaaa voc loo jok,"the blackmailer's voc position can sell expensive electricity, buy 100 thousand, only 72 thousand, collect 28 thousand, thief loo regime, mode of using the jago jago token, proof of selling, selling foreign goods haaaa voc loo jok"
aamiin paling serius ikn gk usaj lanjut udah  beban bet ikn buat finansial negara,"Amen, the most serious thing is that if IKN doesn't continue, it's already a big burden on the state's finances"
turut progres bangun ikn alami maju pesat dampak sangat dahsyat karena ikn rupa psn wajib dukung,"As well as the progress of developing natural fish, the impact is very powerful because fish in the form of PSN must be supported"
kasi sama admin project nya fitnah ngutang nyelewengin duit donasi sampe black campaign buat paslon padahal karna punya lahan ketar tir duit angus ikn,"give the project admin the slander of borrowing money, misappropriating donation money, even black campaigning for candidate pairs, even though because they have land, Angus's money is tight."
gw mah ikn lanjut asal bukan pegang jokowi,I'm going to continue as long as I don't hold Jokowi
duit buat nambahin bangun ikn pak,"money to increase your fish development, sir"
ikn keren,cool icon
food estate saja mengeser lahan suku dayak jadi gersang tandus ikn bapak mayoritas tanah dri situ ahirnya dayak hut tapi lahan parkir buru tikus got wkkkkk udah dayak cerdas jaga hutan dri ambisi wowo,"The food estate just turned the Dayak tribe's land into barren barren land, sir, the majority of the land from there ended up being a Dayak hut, but the parking lot was full of rats, wow, the Dayaks are smart about protecting the forest from ambition, wowo"
wkwkw nalangin ikn,"aww, don't worry about it"
suruh takedown punya properti mereka punya saham ikn silah simpul sendiri,"tell takedown to own the property, they own the shares, please make your own knot"
foto bapak kan kuasa usaha megang proyek ikn,The photo of you is the business authority holding the IKN project
akun centang biru wawas nya kga sampe luas nyata metland salah satu development bangun d ikn gk mungkin lah kga campur tangan lingkar istana ,"The insightful blue tick account doesn't really extend to the extent that Metland, one of the developments that was built, is not possible, it's not possible to intervene in the palace circle"
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the Dayak community, entrusting Prabowo's message to build a Dayak center"
mulai babat hutan buat project ikn ,start clearing the forest for a fish project
bukan l pak 3 huruf ikn,not l sir 3 letters ikn
ikn lebih buah kota harap masa depan indonesia di sana,Ikn more fruit cities hope for Indonesia's future there
ikn ikn untung,ikn ikn profit
iya sama sperti ominibus law ikn,"Yes, it's the same as IKN's ominibus law"
jadi partai gimana si sebenernya padahal koalisi nya dukung ikn malah gagas koalisi ubah dia gaung,"So what kind of party is it actually? Even though the coalition supports IKN, the idea of ​​a coalition has changed"
menteri basuki minta jalan tol ikn rampung juli begini progres,"Minister Basuki asked for the IKN toll road to be completed in July, this is the progress"
iya emang makanya ngapain maksa bikin ikn kalo duit tidak ada investor belum ada emang sakit mau bikin rakyat sengsara,"Yes, that's why you're forced to make fish if you don't have the money, there aren't any investors, it really hurts to make people miserable."
fakta defisit gara2 ikn lrt,Facts about the deficit due to LRT traffic
tak masalah tak jadi swasembada beras penting kereta cepat selesai ikn mulai bangun ingat hkti dukung rejim gada gagal swasembada ,"it doesn't matter, it doesn't matter, it doesn't matter if you are self-sufficient in rice, the important thing is that the train finishes quickly, I will start to wake up, remember hkti, support the regime, don't fail, self-sufficiency"
kirain ikn,think about it
tau sya cerita aladin bikin istana kyk di ikn,I know the story about Aladdin making the palace look like an icon
hhh bagi jg gua project ikn,hhh also share my project IKN
jalan tol ikn tahap satu target rampung juli 2024,IKN toll road phase one is targeted for completion in July 2024
ikn duluan lah,I'll go first
kamu jahat baangg wkwkwkwk,you're evil bro hahaha
saya prediksi belum proyek kereta cepat proyek ugal-ugalan rezim korup biaya bengkak bangun paksa laku investigasi akan dampak rakyat lagi bangun ikn akan tambah beban apbn,"I don't predict yet that the high-speed train project is a reckless project, a corrupt regime, inflated costs, forced construction, investigation will have an impact on the people's construction, it will add to the burden on the state budget"
ikn penting kalimantan klau dukung ikn jangan pilih orang kalimantan milih presiden lanjut ikn,"IKN is important for Kalimantan. If you support IKN, don't vote for Kalimantan people. Vote for President, continue with IKN"
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the Dayak community, entrusting Prabowo's message to build a Dayak center"
system bisa cegah tindak korupsi lingkung pns tuju banget visi anies perintah terbit kpi nasional jadi akan tumpang tindih dlm bijak pusat daerah,"The system can prevent acts of corruption in the civil service environment, which really aims at Anies' vision, the order to issue a national KPI so that it will overlap with the regional central policy"
kalau saya masalah ikn tetep jalan jadi rencana jangka panjang akan kaji bangun akan tetap tapi mungkin selesai periode beliau periode presiden datang ingat ikn sudah uu nya jadi akan tetap jalan,"If I have a problem, IKN will continue to run, so the long term plan will be reviewed, building it will remain, but maybe after his term, the presidential period comes, remember, IKN has already had its law, so it will continue to run."
si prof coba urus ke lurah mungkin langsung balik logika alam pikir message anies jelas posisi akar kelas kroco mumet sampe kelas hiu megalodon perlu tangan semua lintas kecil smp yang besar kuat kpk yang besar cont gt,"the prof tries to take care of it at the sub-district head, maybe it will go straight back to natural logic, Anies's message is clear, the root position of the kroco class is mumet until the megalodon shark class needs hands, all small crosses, big middle school, strong, big kpk, cont gt"
bisa jadi salah vendor filter konten nya dulu jadi murni masalah kontrak salah bukan bagi saham metland kuasa usaha punya proyek ikn bukan orang tampil videotron punya gagas mau revisi ikn,"It could be that the content filter vendor is at fault in the past, so it's purely a matter of wrong contract, not for Metland shares, the business authority has an IKN project, not the person appearing on Videotron, has the idea of ​​wanting to revise the IKN"
basuki target tiga seksi tol ikn lintas juli 2024,Basuki targets three sections of the IKN cross toll road in July 2024
partai golkar bakal gelar kampanye akhir ikn,Golkar party will hold IKN's final campaign
segala bawa2 tuhan pdhl ujung2an cuan langsung hotel ikn,"Everything is brought by God, even though in the end the profits go directly to the IKN hotel"
hubung sama ikn sih soal butuh biaya huft,"Please contact IK about the costs required, huft"
ikn adlh visi wujud sukses ragu akan hasil laku apa mrk selalu ragu2 para visioner berani bisa wujud mimpi2 besar,IKN is a vision that creates success. Doubts about the results of what they are doing are always doubtful. Brave visionaries can make big dreams come true.
jangan gitu bang ciputra punya saham metland ciputra punya proyek ikn kan masalah jelas vendor langgar kontrak bukan masalah orang di videotrone punya gagas revisi uu ikn,"Don't be like that, bro, Ciputra has shares in Metland, Ciputra has an IKN project, it's clear that the vendor's breach of contract is not a problem, the people at Videotrone have the idea of ​​revising the IKN law."
oalah makasih mas info message buzzer buzzer jokowi sekarang pindah kubu nih akan nyusul kayak kartu truf udah di pegang ,"Oh, thank you, bro, info message buzzer buzzer, Jokowi is now changing sides, he will follow as if the trump card is already in his hand."
buru2 mau kerja ikn,I'm in a hurry to get a job
bukan karna ikn jadi menteri lempar dapil menang dapil bogor buncit alhasil gagal dpr trus tidak dapat posisi apa2 pdip partai diri bapakna dulu megawati sakittt dia sopan izin kluar balikin kta,"Not because I became a minister, threw the electoral district, won the Bogor electoral district, ended up failing in the DPR, then didn't get any position in the PDP party, my father used to be Megawati, he was sick, he was polite, let me go, give us back"
padahal ikn baru acc 950m buat bangun masjid,even though Iccn just got 950m to build a mosque
wah kya acting kar raha hai,wow kya acting kar raha hai
siap kota2 kabupaten kalimantan selatan kalimantan tengah kalimantan timur lihat kayak kalian doain jadi projek gagal mikir btp harap warga sini thdp ikn kalau gagal duit negara habis dong lagi jadi korban wkkw how ignorant,"ready, cities, districts, South Kalimantan, Central Kalimantan, East Kalimantan, look like you prayed for the project to fail, think about it, I hope the people here will respond, if it doesn't work out, the state money will run out, you'll be a victim, wow, how ignorant"
kerja ikn nyoblos tps reguler,work like voting at regular polling stations
tenang kalo ikn jadi otomatis jembatan tinggi otomtis,don't worry if the fish becomes an automatic high bridge
atrbpn menteri agraria tata ruang kepala badan tanah nasional atr bpn had tjahjanto damping presiden ri joko widodo rangkai leta batu pertama groundbreaking tinjau bangun ibu kota nusantara ikn,ATRBPN Minister of Agrarian Spatial Planning Head of National Land Agency ATR BPN Had Tjahjanto Accompanying President of the Republic of Indonesia Joko Widodo Sangkai Leta First Stone Groundbreaking Review Building Archipelago Capital IKN
alil apa alas akan bikin gua pulang ikn bintang iyaaa anak nih pakde yang ken alil buru2 nelfon travel,"Alil, what, alas, will make me go home like a star? Yes, this is the child, Uncle, who knows Alil, immediately called Travel"
kalau saya baca2 investasi beliau hotel ikn,"If I read about his investments, IKN hotels"
ijin nambahin min kdrt kalah debat rus tangis ikn ikh nang ,permission to add min kdrt lost the debate rus crying ikh nang
tambah masalah ikn ampe investor kagak mau masuk wkwk noh udah 8000t tuh utang negara kagak tau dah ini mau jadi apa,"This adds to the problem, until investors don't want to come in, wow, it's already 8,000 trillion, the national debt doesn't know what it's going to become"
wow we re living in our bubble segala info busuk perintah temen gue ajak debat batas obrol banjir dp 0 formule e ikn milih gemoy tidak sadar sedang bungkam perlahan,"Wow, we're living in our bubble, all the rotten information that my friend ordered me to debate on, flood chat limits, dp 0 formule e, I'm choosing gemoy, I'm not aware that I'm slowly keeping quiet"
ibu kota nusantara,capital of the archipelago
iyah memang masalah struktural perintah skrg cmn mau bayar utang cina sama bikin ikn,"Yes, it's a structural problem with the current order because we want to pay China's debt and make fish"
capres lebih jijik mendung lebih bodoh,The presidential candidate is more disgusted and more stupid
aduhhh bilang apa otak kosong  sedih aku tuh benar rrr mending uang ikn buat sekolahin orang dungu tak kuat aku liat orang bodoh hoax,"Ouch, what are you saying, my brain is empty, sad, I'm right, rrr, it's better to use fish money to go to school, stupid people don't have the strength, I see stupid people hoaxing"
