full_text,tokenized_and_stemmed,tweet_english
ikn ajaa sekali giat bangun kotaa,ikn ajaa sekali giat bangun kotaa,I'm just very active in building the city
seluruh anggota peduli sama berhala nama ikn,seluruh anggota peduli sama berhala nama ikn,All members care about the idol named IKN
segala dampak positif hasil bangun ikn nusantara harap seluruh elemen masyarakat turut dukung langsung bangun maju indonesia,segala dampak positif hasil bangun ikn nusantara harap seluruh elemen masyarakat turut dukung langsung bangun maju indonesia,We hope that all elements of society will directly support the development of Indonesia's development for all the positive impacts resulting from building Indonesia's development
o masjid mcflurrynyanitu ikn,o masjid mcflurrynyanitu ikn,o mcflurrynyanitu mosque ikn
proyek bangun jalan tol ikn target selesai juli 2024,proyek bangun jalan tol ikn target selesai juli 2024,The IKN toll road construction project is targeted for completion in July 2024
die kan usaha juga punya proyek ikn,die kan usaha juga punya proyek ikn,"Yes, the business also has an IKN project"
bangun ikn pak,bangun ikn pak,"wake up, sir"
tuhan nya ada ikn sono,tuhan nya ada ikn sono,there is a god like sono
penting rakyat tanah jadi ikn keren sih,penting rakyat tanah jadi ikn keren sih,It's important for the people of the land to be cool
usaha vietnam investasi ikn,usaha vietnam investasi ikn,Vietnam investment business IKN
menteri pupr kualitas jalan tol ikn nusantara baik dunia,menteri pupr kualitas jalan tol ikn nusantara baik dunia,"Minister of Public Works, the quality of IKN toll roads in the archipelago is good in the world"
tingkat ekonomi indonesia presiden jokowi ajak usaha vietnam investasi ikn nusantara,tingkat ekonomi indonesia presiden jokowi ajak usaha vietnam investasi ikn nusantara,"Indonesia's economic level, President Jokowi invites Vietnamese businesses to invest in Indonesian fish"
umat kristiani pernah campur aduk antar agama amp politik knp si ara bisa lanjut hotel nya ikn pake jual agama ya kadrunisme,umat kristiani pernah campur aduk antar agama amp politik knp si ara bisa lanjut hotel nya ikn pake jual agama ya kadrunisme,"Christians have mixed up religion and politics, why can Ara continue his hotel by selling religion, kadrunism?"
jangan lupa noh orang mau lanjut program lawak tidak nye rezim skarang ikn duit mane tuh kalo kaga ngutang,jangan lupa noh orang mau lanjut program lawak tidak nye rezim skarang ikn duit mane tuh kalo kaga ngutang,"Don't forget, people want to continue the comedy program, don't worry about the current regime, where's the money if you don't have debt?"
jadi menteri pupr kan punya proyek hotel bintang 5 ikn,jadi menteri pupr kan punya proyek hotel bintang 5 ikn,So the Minister of Public Works has a 5 star IKN hotel project
hapus subsidi lalu lanjut bangun ikn sangat peduli rakyat sekali priogramnya,hapus subsidi lalu lanjut bangun ikn sangat peduli rakyat sekali priogramnya,Remove subsidies then continue building IKN really cares about the people and its program
sini cerita k aku teh aku jg pro ikn da wkwk,sini cerita k aku teh aku jg pro ikn da wkwk,"Here's my story, I'm also a fish pro, hahaha"
ikn bawa dampak baik,ikn bawa dampak baik,it will have a good impact
sama dukung ikn nusantara,sama dukung ikn nusantara,and support Indonesian fish
ikn bawa dampak baik,ikn bawa dampak baik,it will have a good impact
njir gas 3kg harga 60k ikn wkwk pantes nasi bungkus 20k atas,njir gas 3kg harga 60k ikn wkwk pantes nasi bungkus 20k atas,"Njir gas 3kg price 60k IKN Wow, no wonder the rice package is above 20K"
selamat nikmat kan ikn sama kereta cepat,selamat nikmat kan ikn sama kereta cepat,Good luck with the fast train
dana jembatan bayar utang jebak china untuk bangun ikn korupsi kami biar rakyat sengsara suara kalian 5 tahun kami beli 200 ribu rupiah murah,dana jembatan bayar utang jebak china untuk bangun ikn korupsi kami biar rakyat sengsara suara kalian 5 tahun kami beli 200 ribu rupiah murah,bridge funds to pay debts trapped by China to build our corruption system so that the people suffer your vote for 5 years we will buy it for 200 thousand cheap rupiah
2 000 pns eselon i ii segera pindah duluan ikn jakarta edunews id-sebanyak 2 000 aparatur sipil negara asn pns eselon i eselon ii pindah ibu kota nusantara ikn tahap pertama ini sampai menteri,2 000 pns eselon i ii segera pindah duluan ikn jakarta edunews id-sebanyak 2 000 aparatur sipil negara asn pns eselon i eselon ii pindah ibu kota nusantara ikn tahap pertama ini sampai menteri,"2,000 echelon I II civil servants will immediately move first IKN Jakarta Edunews ID-a total of 2,000 echelon I Echelon II state civil servants will move to the capital of the archipelago in this first stage until the Minister"
taruna calo ikn koar koar,taruna calo ikn koar koar,"the cadets tout the fish, they're all loud and loud"
brunei darussalam nyata minat investasi ibu kota nusantara presiden jokowi kantong letter of acceptance nila rp 7 triliun konsorsium internasional peluang kolaborasi tuju pusat tumbuh ekonomi baru,brunei darussalam nyata minat investasi ibu kota nusantara presiden jokowi kantong letter of acceptance nila rp 7 triliun konsorsium internasional peluang kolaborasi tuju pusat tumbuh ekonomi baru,brunei darussalam real investment interest capital of the archipelago president jokowi pocket letter of acceptance nila rp 7 trillion international consortium collaboration opportunities to aim for new economic growth center
kasus km50 pbnu suara gantirugi mandalika ikn wadas kasus rempang peduli pbnu banjir bencana alam jg sepi,kasus km50 pbnu suara gantirugi mandalika ikn wadas kasus rempang peduli pbnu banjir bencana alam jg sepi,km50 case pbnu vote compensation mandalika ikn wadas case rempang care pbnu floods natural disasters also quiet
sama,sama,The same
bangun ikn jadi topang ekonomi indonesia masa depan,bangun ikn jadi topang ekonomi indonesia masa depan,Build IKN to support Indonesia's future economy
thread sekian bikin tekad bulat kalau gk bakal minat beli rumah jabodetabek bismillah tempat ikn,thread sekian bikin tekad bulat kalau gk bakal minat beli rumah jabodetabek bismillah tempat ikn,"This thread has made me determined that I will not be interested in buying a house in Jabodetabek, bismillah, IKN place"
ma af rais aam pbnu balik nih justru presiden jokowi hina mendzalimi rakyat indonesia masuk nadhliyin halus kasat mata kasus rempang morowali ikn kac kanjuruhan pbnu kalem merem,ma af rais aam pbnu balik nih justru presiden jokowi hina mendzalimi rakyat indonesia masuk nadhliyin halus kasat mata kasus rempang morowali ikn kac kanjuruhan pbnu kalem merem,"ma af rais aam pbnu is back, it's actually president jokowi who is despicable in tyrannizing the indonesian people, entering nadhliyin in a subtle, invisible case, the case of rempang morowali iKn kac kanjuruhan pbnu is calm and reserved"
nah dengar apa kata rabbi yahudi,nah dengar apa kata rabbi yahudi,"Well, listen to what the Jewish rabbi said"
semua orang israel agama yahudi semua yahudi jewish zionis,semua orang israel agama yahudi semua yahudi jewish zionis,all Israelis are Jewish all Jews are Zionist Jews
dukung minta domestik utama lanjut tumbuh konsumsi tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,dukung minta domestik utama lanjut tumbuh konsumsi tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"support the main domestic demand to continue growing consumption, special investment levels, building roads, continuing to build PSN to enter the capital of the archipelago, IKN"
mukusnya bangun hotel ikn,mukusnya bangun hotel ikn,the mucus is building an IKN hotel
gw mikirnya gin soal ken ikn dilanjutin tinggal liat siapa nyupirin aja,gw mikirnya gin soal ken ikn dilanjutin tinggal liat siapa nyupirin aja,"I think it's okay if you want to continue, just see who's thinking about it"
nyata,nyata,real
ken deh ngetwit dampak langsung ikn hidup datang tanah kaltim takut kira buzzer saya bukan dukung ybs ,ken deh ngetwit dampak langsung ikn hidup datang tanah kaltim takut kira buzzer saya bukan dukung ybs,Ken deh tweeted the direct impact of live fish coming to the land of East Kalimantan I'm afraid of the buzzer I don't support ybs
dukung progres bangun ikn nusantara,dukung progres bangun ikn nusantara,support the progress of building the archipelago's fisheries
dukung progres bangun ikn nusantara,dukung progres bangun ikn nusantara,support the progress of building the archipelago's fisheries
dukung progres bangun ikn nusantara,dukung progres bangun ikn nusantara,support the progress of building the archipelago's fisheries
banyak asn pusat mau kalau pindah ikn jadi asn pusat tahu dong milih siapa wkwkwkwk,banyak asn pusat mau kalau pindah ikn jadi asn pusat tahu dong milih siapa wkwkwkwk,"Many central ASNs would like to move to become central ASNs, you know who to choose hahaha"
disclaimer dulu nih gue pro bangun ikn rep gue tulis atas dasar dapat temen gue dukung 02 screenshot kamu kirim bilang smi mundur jadi kemenkeu utang indo bengkak bangun ikn,disclaimer dulu nih gue pro bangun ikn rep gue tulis atas dasar dapat temen gue dukung 02 screenshot kamu kirim bilang smi mundur jadi kemenkeu utang indo bengkak bangun ikn,"Disclaimer first, I'm pro building IKN Rep. I write on the basis that my friends can support me. 02 screenshots you send say SMI is stepping down as Ministry of Finance, Indonesian debt is swelling, building IKN"
nyata,nyata,real
program asal mangap asal janji ikut2an bokapnya wakil proyek mercusuar ikn kereta cepat kasihan rakyat cekik pajak subsidi bbm hilang,program asal mangap asal janji ikut2an bokapnya wakil proyek mercusuar ikn kereta cepat kasihan rakyat cekik pajak subsidi bbm hilang,"program as long as it is established as long as it promises to follow along with the father, the representative of the lighthouse project, IKN, the high-speed train, it's a pity for the people who are strangled, the fuel subsidy tax is gone"
sah benar bangun ikn and i m happy to hear kalimantans enthusiasm about ikn perlu catat kalau perata sejahtera duduk cuma pulau jawa sama kalimantan juga semua pulau indonesia,sah benar bangun ikn and i m happy to hear kalimantans enthusiasm about ikn perlu catat kalau perata sejahtera duduk cuma pulau jawa sama kalimantan juga semua pulau indonesia,really wake up ikn and I'm happy to hear Kalimantan's enthusiasm about ikn. Please note that Perata Sejahtera sits only on the islands of Java and Kalimantan as well as all the islands of Indonesia
tp statment ganjar tetap lanjut ikn lho bikin ragu kaya full total oposisi sama jokowi,tp statment ganjar tetap lanjut ikn lho bikin ragu kaya full total oposisi sama jokowi,"But the reward statement continues, you know, it makes you doubt the full opposition to Jokowi"
nyata,nyata,real
hahaha satu selera,hahaha satu selera,hahaha one taste
ketika usaha deya ikn ngajakin alil pulang ngga apa anak pdhl mo zeyya cuma mintain mulberries bisa langsung bikin alil pesan travel pulang dey kamu dikalahin sama anak sendiri ituu roman mo zeyya jadi sayang pakde alil banget inih,ketika usaha deya ikn ngajakin alil pulang ngga apa anak pdhl mo zeyya cuma mintain mulberries bisa langsung bikin alil pesan travel pulang dey kamu dikalahin sama anak sendiri ituu roman mo zeyya jadi sayang pakde alil banget inih,"When you try to get Alil to go home, it's okay, the child, even if Mo Zeyya just asks for mulberries, you can immediately make Alil order a trip home, you're being defeated by your own child, Mo Zeyya's romance, so I really love Pakde Alil."
sini lihat beliau tuju ikn anggar lebih baik bikin 40 kota jakarta karna ikn tidak semua kalang nikmatinnya tolak belakang prinsip tara adil kalau 01 menang ikn jadi apa prokprokprok,sini lihat beliau tuju ikn anggar lebih baik bikin 40 kota jakarta karna ikn tidak semua kalang nikmatinnya tolak belakang prinsip tara adil kalau 01 menang ikn jadi apa prokprokprok,"Here, look at him aiming for IK Fencing, it's better to make 40 cities in Jakarta because not everyone can enjoy it, it's against the principle of fair tara, if 01 wins IK, so what are the prok-prok-prok"
satu kurang ttg ikn kurang banyak libat masyarakat sejak gagas amp susun bijak shg jadi pro kontra,satu kurang ttg ikn kurang banyak libat masyarakat sejak gagas amp susun bijak shg jadi pro kontra,"One thing is less about fish, there hasn't been much public involvement since the idea and wise planning so there are pros and cons"
nanti kampus internasional ikn,nanti kampus internasional ikn,later the IKN international campus
kampus kelas dunia pertama tarik ikn,kampus kelas dunia pertama tarik ikn,First world class campus to attract IKN
niu amerika serikat tarik bangun kampus pascasarjana ikn,niu amerika serikat tarik bangun kampus pascasarjana ikn,NIU United States withdraws construction of IKN graduate campus
niu amerika serikat tarik bangun ikn,niu amerika serikat tarik bangun ikn,niu united states pull up ikn
universitas internasional peluang kolaborasi bentuk riset didik ikn,universitas internasional peluang kolaborasi bentuk riset didik ikn,international universities opportunities for collaboration in the form of education and education research
dey kamu yakin ngga ngiri sama alil wkwk alil nan jauh ikn dah tau kalo star isi dah panggil pakde om lohh,dey kamu yakin ngga ngiri sama alil wkwk alil nan jauh ikn dah tau kalo star isi dah panggil pakde om lohh,"Hey, are you sure you're not sending Alil, hey Alil, who's far away, I already know that Star Isi has called Uncle Uncle, you know?"
program tidak masuk akal lebih gila ikn,program tidak masuk akal lebih gila ikn,more crazy nonsense program iKN
yesus bahasa yunani,yesus bahasa yunani,Jesus in Greek
panglima jilah ribu pasu merah dukung prabowo lanjut bangun ikn,panglima jilah ribu pasu merah dukung prabowo lanjut bangun ikn,Commander Jilah Thousand Red Pasu supports Prabowo to continue building IKN
belum boro-boro lirik sama perintah kan kalimantan cuma anak tiri dimanfaatin kaya alam maaf tiba ngomongin ikn i m just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives,belum boro-boro lirik sama perintah kan kalimantan cuma anak tiri dimanfaatin kaya alam maaf tiba ngomongin ikn i m just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives,"not yet wasted the lyrics and commands, Kalimantan is just a stepchild used like nature, sorry for suddenly talking about ikn, I'm just triggered seeing people loudly declare how unimportant our new capital city is typical java-centric perspectives"
wkwk jan bilang anak nya deya lengket nya alil sebentar ngidam pertama om alil bawain ikn,wkwk jan bilang anak nya deya lengket nya alil sebentar ngidam pertama om alil bawain ikn,haha jan said his child was so clingy alil was craving for a while first uncle alil brought some fish
si tiba tiba bikin ikn,si tiba tiba bikin ikn,Si suddenly made fish
presiden jokowi mulai bangun jambuluwuk nusantara hotel ikn,presiden jokowi mulai bangun jambuluwuk nusantara hotel ikn,President Jokowi begins building the Jambuluwuk Nusantara IKN hotel
kan kalau jadi presiden laku adil seluruh rakyat indonesia hanya jakarta makhluk model pj heru lempar ikn ,kan kalau jadi presiden laku adil seluruh rakyat indonesia hanya jakarta makhluk model pj heru lempar ikn,"If you become president, all Indonesian people will be fair, only Jakarta will be a model of PJ Heru throwing fish"
tol akses tuju ikn tahap 1 rampung juli 2024 datang,tol akses tuju ikn tahap 1 rampung juli 2024 datang,IKN access toll road phase 1 will be completed in July 2024
menang prabowo mampu terus bangun ikn kelkelkelkelkelkel rekam jejak ide gagas minus koq mau nerusin program jokowi meksoooooo,menang prabowo mampu terus bangun ikn kelkelkelkelkelkel rekam jejak ide gagas minus koq mau nerusin program jokowi meksoooooo,"win, Prabowo is able to continue to build IKN kelkelkelkelkelkel track record of ideas minus how come you want to continue Jokowi's program meksoooooo"
main kemarin bahas kyk orang benar dah mulai milu ikn utang negara love you teman teman moga makin liat kyk orang benar ,main kemarin bahas kyk orang benar dah mulai milu ikn utang negara love you teman teman moga makin liat kyk orang benar,"yesterday's game discussed like a righteous person, I'm starting to feel sad about the national debt, love you friends, I hope you see more like a righteous person"
jalan tol ikn tengah bangun begini tampak,jalan tol ikn tengah bangun begini tampak,This is how the IKN toll road is being built
dukung minta domestik utama lanjut tumbuh konsumsi tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,dukung minta domestik utama lanjut tumbuh konsumsi tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"support the main domestic demand to continue growing consumption, special investment levels, building roads, continuing to build PSN to enter the capital of the archipelago, IKN"
ikn kan butuh dana ngerti dong kan tuju baik negara,ikn kan butuh dana ngerti dong kan tuju baik negara,"I mean, you need funds, you understand, it's aimed at the good of the country"
jadi jelas untuk tolak ikn bye bye,jadi jelas untuk tolak ikn bye bye,So it's clear to reject IKN bye bye
bangun ikn tingkat tumbuh ekonomi,bangun ikn tingkat tumbuh ekonomi,build the level of economic growth
ikn nusantara jadi titik bangkit tuju negara maju sejahtera,ikn nusantara jadi titik bangkit tuju negara maju sejahtera,The Indonesian archipelago has become a rising point towards a prosperous developed country
ikn nusantara beri ubah besar bangsa negara,ikn nusantara beri ubah besar bangsa negara,Indonesian fish have made a big difference to the nation's nation
waskita tuntas 7 proyek ikn semester i daftar,waskita tuntas 7 proyek ikn semester i daftar,Waskita completes 7 IKN projects in semester I list
ahli kitab bani israil khusus yahudi tahu kapan mana nabi akhir zaman lahir makanya harap nabi akhir golong sehingga beberapa qabilah yahudi diam di mek nabi muhammad lahir,ahli kitab bani israil khusus yahudi tahu kapan mana nabi akhir zaman lahir makanya harap nabi akhir golong sehingga beberapa qabilah yahudi diam di mek nabi muhammad lahir,"The experts of the book of the Children of Israel, especially Jews, know when the prophets of the end times were born, so they hope that the final prophets will be included in the group so that some of the Jewish Qabilah stay in the place where the Prophet Muhammad was born."
lah deforestasi buat ikn food estate siape ,lah deforestasi buat ikn food estate siape,is deforestation ready for food estates?
lu kira ikn food estate maksi gratis dana 1400t kemenhan tidak boros 10thn perintah jokowi utang naik 2000t 8000t anjir gedek lag,lu kira ikn food estate maksi gratis dana 1400t kemenhan tidak boros 10thn perintah jokowi utang naik 2000t 8000t anjir gedek lag,"Do you think IKN Food Estate has a maximum free fund of 1400t, the Ministry of Defense won't waste 10 years of Jokowi's orders, debt will increase by 2000t, 8000t, Anjir Gedek Lag"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn ,tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
bahas reply atas revelan banget jawab kan elu bahas soal ikn,bahas reply atas revelan banget jawab kan elu bahas soal ikn,"discussing the reply above, it's really relevant to answer, right? You're talking about fish"
menteri basuki pasti tol ikn selesai juli 2024,menteri basuki pasti tol ikn selesai juli 2024,Minister Basuki will definitely complete the IKN toll road in July 2024
ayooo cak malu dong klou sampe pak bersih2 pasca debat keluar mampu baik,ayooo cak malu dong klou sampe pak bersih2 pasca debat keluar mampu baik,"Come on, bro, I'm embarrassed. If you clean up after the debate, you'll be fine"
dpt proyek ikn pak he he,dpt proyek ikn pak he he,got a fish project sir he he
kubah masjid ikn,kubah masjid ikn,IKN mosque dome
ayo cak semangat jangan mau sayur oleh orang tolol debat kejam jgn sok santun cc,ayo cak semangat jangan mau sayur oleh orang tolol debat kejam jgn sok santun cc,"Come on bro, be enthusiastic, don't want vegetables by stupid people, have a cruel debate, don't act polite, CC"
capres kamu kolega kurang ngerusak apa food estate ikn,capres kamu kolega kurang ngerusak apa food estate ikn,Your colleague's presidential candidate hasn't done enough damage to the IKN food estate
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,tingkat investasi khusus bangun jalan lanjut bangun psn masuk ibu kota nusantara ikn,"special investment level to build roads and continue building PSN to enter the capital of the Indonesian archipelago, IKN"
nder bahkan cpns baru buka akhir semua jurus bisa dimasukin beberapa formasi semua jurus soal aku liat kualifikasi didik s1 embel jurus wkwkwkwk banyakkk formasi buka khusus diterbangin ikn,nder bahkan cpns baru buka akhir semua jurus bisa dimasukin beberapa formasi semua jurus soal aku liat kualifikasi didik s1 embel jurus wkwkwkwk banyakkk formasi buka khusus diterbangin ikn,"nder, even the new CPNS opens at the end of all the moves, you can enter several formations, all the moves, I looked at the qualifications for undergraduate students, additional moves, hahaha, there are a lot of formations that are opened specifically for IKN"
itu semua gara ambisi junjung kamu buat nerusin ikn ,itu semua gara ambisi junjung kamu buat nerusin ikn,It's all because of your upholding ambition to continue the business
hadehhh berapa penting sih ikn klw emang ada uang nya ngapain terusin,hadehhh berapa penting sih ikn klw emang ada uang nya ngapain terusin,"Haha, how important is it, if you actually have the money, why keep doing it?"
pilih 2 3 kalo menang ttp lanjut ikn komediputer,pilih 2 3 kalo menang ttp lanjut ikn komediputer,Choose 2 or 3 if you win but continue with IKN Comedyputer
mungkin maksud hikmat duit luar biasa aguan proyek ikn,mungkin maksud hikmat duit luar biasa aguan proyek ikn,Maybe it means the extraordinary money wisdom of supporting IKN projects
yakin paslon loe paham ttg lingkung  ikn mau terus gmana bicara lingkung yang babat hutan buat singkong,yakin paslon loe paham ttg lingkung ikn mau terus gmana bicara lingkung yang babat hutan buat singkong,Are you sure your candidate pair understands the environment for fish? What do you want to do with talking about the environment that clears forests for cassava?
kl gitu sekarang baik gen z mulai beli rumah ikn 50 tahun kalo negara bangkrut jadi area elit dipuji2 generasi ikut,kl gitu sekarang baik gen z mulai beli rumah ikn 50 tahun kalo negara bangkrut jadi area elit dipuji2 generasi ikut,"If that's the case now, it's good for Gen Z to start buying houses, it'll be 50 years if the country goes bankrupt, it will become an elite area, praised by generations of people to follow."
kalau food estate ikn bagaimana bang subsidi gak kalau dari mana pajak mobil pajak hibur,kalau food estate ikn bagaimana bang subsidi gak kalau dari mana pajak mobil pajak hibur,"If it's a food estate, how about subsidies, bro, where does the car tax come from?"
tau definisi kampanye ga,tau definisi kampanye ga,Do you know the definition of campaign?
lanjut ngutang lanjut bikin tol lanjut kereta cepat lanjut hilir asing lanjut ikn lanjut ngubah konstitusi sesuai penting it s okay arti capres cuma jadi kendara doang dong lenggang legitimasi udah ada,lanjut ngutang lanjut bikin tol lanjut kereta cepat lanjut hilir asing lanjut ikn lanjut ngubah konstitusi sesuai penting it s okay arti capres cuma jadi kendara doang dong lenggang legitimasi udah ada,"Continue borrowing, continue making tolls, continue high-speed trains, continue downstream, continue IKN, continue changing the constitution according to the importance, it's okay, the meaning of the presidential candidate is just a vehicle, don't worry, the legitimacy is already there"
invest ikn rasa takut investnya hancur beranta bukan penting rakyat yang pasti penting perut sendiri,invest ikn rasa takut investnya hancur beranta bukan penting rakyat yang pasti penting perut sendiri,"Investing is the fear that your investment will be destroyed, it's not important for the people, what's important is your own stomach"
belum sadar oligarki ver 2 3 sedang main peran good cop vs bad cop bungkam orang tenang anda sendiri  dukung reklamasi jakarta ikn lalu giant sea wall koentji,belum sadar oligarki ver 2 3 sedang main peran good cop vs bad cop bungkam orang tenang anda sendiri dukung reklamasi jakarta ikn lalu giant sea wall koentji,not yet aware of the oligarchy ver 2 3 playing the role of good cop vs bad cop silence people calm down yourself support the reclamation of Jakarta IKN then giant sea wall koentji
haqqulyakin ikn mangkrak penuh dusta alkadhibuajzun,haqqulyakin ikn mangkrak penuh dusta alkadhibuajzun,haqqulyakin ikn stalled full of lies alkadhibuajzun
suruh jalan kaki sekali sbg bukti cinta jangan kasih gampang bila perlu suruh bikin ikn eh,suruh jalan kaki sekali sbg bukti cinta jangan kasih gampang bila perlu suruh bikin ikn eh,"tell me to take a walk once as proof of love, don't give it easy, if necessary, tell me to make fish, eh"
haluuuu biar curang kpu nope,haluuuu biar curang kpu nope,haluuuu let me cheat nope
no 3 waras no 1 lihat hasil gimana jakarta no 2 gercep bangun ikn amp kereta cepat walaupun pake utang amp pajak rakyat no 3 selow belum tau depan pasti di setir tum partai kalau jadi masih galau,no 3 waras no 1 lihat hasil gimana jakarta no 2 gercep bangun ikn amp kereta cepat walaupun pake utang amp pajak rakyat no 3 selow belum tau depan pasti di setir tum partai kalau jadi masih galau,No. 3 Sane No. 1 Look at the results of Jakarta. No. 2 Quickly build fast trains even though it uses debt and people's taxes.
bangun karaoke ikn mbak siapa tahu discount pajak 75,bangun karaoke ikn mbak siapa tahu discount pajak 75,"wake up to karaoke, sis, who knows, a 75 tax discount"
pupuk vs ikn,pupuk vs ikn,fertilizer vs fish
si plongo bisa apa jadi sales ikn,si plongo bisa apa jadi sales ikn,What can the old man do as an fish salesman?
jokowi punya high stakes ya ikn smelter,jokowi punya high stakes ya ikn smelter,"Jokowi has high stakes, yes, IKN smelter"
jaga aset nya ikn kalik bang,jaga aset nya ikn kalik bang,"Take care of your assets, bro"
gw jadi curiga skenario pindah ikn ya bgini biar kamu mo bikin absurd absurd bijak gabakalan yang demo jir jauh,gw jadi curiga skenario pindah ikn ya bgini biar kamu mo bikin absurd absurd bijak gabakalan yang demo jir jauh,"I'm suspicious that the scenario of moving fish is like this, so that you can make absurd, absurd, wise gabakalans who demonstrate far away"
sehat rakyat jadi susah jabat voc tukang peras cuma jago kandang bukti jual ikn k asing tak laku laku haaaaa,sehat rakyat jadi susah jabat voc tukang peras cuma jago kandang bukti jual ikn k asing tak laku laku haaaaa,"people are healthy, so it's hard to hold a job as a press worker, he's only good at cages, proof that selling foreign fish doesn't sell well, haaaaa"
ini harus juang transportasi hubung lintas darat maju ekonomi sekaligus mangkas waktu makanya ikn tinjau ulang lihat daerah infrastruktur pemerataa cc untuk,ini harus juang transportasi hubung lintas darat maju ekonomi sekaligus mangkas waktu makanya ikn tinjau ulang lihat daerah infrastruktur pemerataa cc untuk,"This requires land transportation to advance economically and at the same time save time, that's why we need to review the area of ​​CC equalization infrastructure for"
beda jauh sama proses ikn,beda jauh sama proses ikn,Very different from the IKN process
grassrot kadrun mana kau diam kasih makan monyet ikn yaaaaaaaa,grassrot kadrun mana kau diam kasih makan monyet ikn yaaaaaaaa,grassrot kadrun where are you silent feeding the monkeys fish yaaaaaaaa
oligarki n elite politik jelas membacking 02 bahkan pak prabowo sudah punya proyek ikn jangka pendek mungkin ini kes ah gapapa asal kerja ketika lihat jangka panjang it s a big no for the working class,oligarki n elite politik jelas membacking 02 bahkan pak prabowo sudah punya proyek ikn jangka pendek mungkin ini kes ah gapapa asal kerja ketika lihat jangka panjang it s a big no for the working class,"oligarchs and political elites are clearly backing 02, even Pak Prabowo already has a short term fish project, maybe this is a problem, it's okay as long as you look at the long term, it's a big no for the working class"
pindah ikn ae mas,pindah ikn ae mas,"move on, bro"
biaya rugi bumn bangun ikn naik pajak wkwkwk,biaya rugi bumn bangun ikn naik pajak wkwkwk,the cost of loss of a state-owned company will increase in taxes hahaha
ikn hambalang,ikn hambalang,hamland fish
ngaku negara chaos duit buat bangun ikn asal,ngaku negara chaos duit buat bangun ikn asal,admits that the country is in chaos with money to build the original country
lagi utang dah numpuk tambal pake utang kata kemaren aman bangun ikn meski pake dana utang tidak masalah sekarang malah gin sih iya gue tim pro bangun ikn siapa sih tidak ken ibukota dipindahin biar bangun rata tidak ninggalin masalah,lagi utang dah numpuk tambal pake utang kata kemaren aman bangun ikn meski pake dana utang tidak masalah sekarang malah gin sih iya gue tim pro bangun ikn siapa sih tidak ken ibukota dipindahin biar bangun rata tidak ninggalin masalah,"the debt is piling up, but using debt, yesterday it was safe to build IK, even if I used debt funds, it's not a problem now, but I'm a pro team to build IK, who doesn't want the capital to be moved so that it builds evenly and doesn't leave any problems?"
penasaran sih jabodetabek jadi satu provinsi ikn benar jadi,penasaran sih jabodetabek jadi satu provinsi ikn benar jadi,"I'm curious if Jabodetabek becomes one province, it really happens"
logika balik kalau itu ikn tempat buang asn mesti asn baik yh di ikn nanti,logika balik kalau itu ikn tempat buang asn mesti asn baik yh di ikn nanti,"The logic behind it is that if it's a place to dispose of ASN, it has to be a good ASN, so I'll find it later"
plis di tiktok rame banget ttg ikn memang ikn lihat bagus wah gemerlap isu ttg pajak naik subsidi bakal hapus gaji jabat naik hutang lonjak rumor menteri resign malah gk up ,plis di tiktok rame banget ttg ikn memang ikn lihat bagus wah gemerlap isu ttg pajak naik subsidi bakal hapus gaji jabat naik hutang lonjak rumor menteri resign malah gk up,"pls there's a lot of buzz on tiktok about fish, it really does look good, wow, there's a lot of buzz about the issue of tax increases, subsidies that will eliminate official salaries, debts will soar, rumors of ministers resigning won't even come up"
lbh suka non baduy belah,lbh suka non baduy belah,I prefer non Baduy
dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,dukung bangun ikn masyarakat dayak titip pesan prabowo bangun dayak center,"support the building of the Dayak community, entrusting Prabowo's message to build a Dayak center"
